##NOTE: For the other origins there weren't
enough cars from that origin to generate a fit.
Leaving those as exponential should work.

   origins length     shape      scale
1      101    140 0.4607035  13.588157
2      102     33 0.6493237  41.740136
3      103      8 0.5301329 190.986431
4      111     13 0.6974367  88.035222
5      112     12 0.6934518  93.927424
6      113     23 0.5085310  68.520806
7      114    262 0.5425892   6.326866
8      115    105 0.7533005  11.464914
9      118      6 1.1523823 102.249760
10     120     17 1.3104905  37.188588
11     121     11 1.0782052  58.733957
12     122     48 1.0607846  17.302337
13     123     58 1.1569965  13.199382
